홍천	2021	950.3
홍천	2022	1707.7
홍천	2023	1392.4
홍천	2024	1244.7
태백	2020	1530.1
태백	2021	1207.4
태백	2022	1088.9
태백	2023	1525.8
태백	2024	1327.4
정선군	2020	1305.4
정선군	2021	1112.1
정선군	2022	1372.6
정선군	2023	1399.7
정선군	2024	1264.9
제천	2020	1551.8
제천	2021	1162.2
제천	2022	1476.6
제천	2023	1765.7
제천	2024	1432.8
보은	2020	1768.8
보은	2021	1097.7
보은	2022	1043.5
보은	2023	1870.4
보은	2024	1252.8
천안	2020	1443.5
천안	2021	1058.9
천안	2022	1080.7
천안	2023	1502.5
천안	2024	1476.9
보령	2020	1301.9
보령	2021	1107.9
보령	2022	1348.2
보령	2023	1726.7
보령	2024	1494.3
부여	2020	1624.8
부여	2021	1123.4
부여	2022	1301.1
부여	2023	2165
부여	2024	1432.3
금산	2020	1758.2
금산	2021	1290.1
금산	2022	948.7
금산	2023	1800.9
금산	2024	1416.2
세종	2020	1685.8
세종	2021	1104.6
세종	2022	1222.4
세종	2023	2103.3
세종	2024	1462.8
부안	2020	1694.8
부안	2021	1354
부안	2022	971.2
부안	2023	1853.6
부안	2024	1168.2
임실	2020	1869.8
임실	2021	1259.2
임실	2022	966.7
임실	2023	1984.4
임실	2024	1439.9
정읍	2020	1718.9
정읍	2021	1354.6
정읍	2022	979.3
정읍	2023	1937.7
정읍	2024	1226.7
남원	2020	2007.2
남원	2021	1136.8
남원	2022	811.4
남원	2023	1805.7
남원	2024	1416
장수	2020	2126
장수	2021	1345.2
장수	2022	982.6
장수	2023	2168.1
장수	2024	1644.3
고창군	2020	1671.7
고창군	2021	1174.6
고창군	2022	652.8
고창군	2023	1513.3
고창군	2024	1136.1
영광군	2020	1787.9
영광군	2021	1202.6
영광군	2022	802.7
영광군	2023	1496.1
영광군	2024	1051.7
김해시	2020	1702.5
김해시	2021	1552.6
김해시	2022	874
김해시	2023	1879.6
김해시	2024	1720
순창군	2020	2133.7
순창군	2021	1232.6
순창군	2022	877.1
순창군	2023	2097.3
순창군	2024	1399.3
북창원	2020	1798.6
북창원	2021	1555.8
북창원	2022	996.5
북창원	2023	2087
북창원	2024	1852.6
양산시	2020	1892.5
양산시	2021	1708.2
양산시	2022	932.5
양산시	2023	2172
양산시	2024	1669.4
보성군	2020	1716.2
보성군	2021	1708.3
보성군	2022	1056.4
보성군	2023	2015.6
보성군	2024	1928.2
강진군	2020	1654.4
강진군	2021	1494.8
강진군	2022	1033.3
강진군	2023	1933.3
강진군	2024	1823.2
장흥	2020	1692.2
장흥	2021	1475.5
장흥	2022	915.9
장흥	2023	1985.1
장흥	2024	1884
해남	2020	1450.3
해남	2021	1387.9
해남	2022	794.5
해남	2023	1619.3
해남	2024	1504
고흥	2020	1520.2
고흥	2021	1339.8
고흥	2022	929.7
고흥	2023	1702
고흥	2024	1696.8
의령군	2020	1747.5
의령군	2021	1205.5
의령군	2022	784.2
의령군	2023	1939.9
의령군	2024	1492
함양군	2020	1910.6
함양군	2021	1014.9
함양군	2022	801.5
함양군	2023	1701
함양군	2024	1221.4
광양시	2020	1821
광양시	2021	1423
광양시	2022	1054.7
광양시	2023	2274.6
광양시	2024	2027.8
진도군	2020	1515.5
진도군	2021	1549.1
진도군	2022	903.1
진도군	2023	1540.8
진도군	2024	1719.3
봉화	2020	1297.3
봉화	2021	1129.1
봉화	2022	1014.3
봉화	2023	1828.7
봉화	2024	1241.7
영주	2020	1499.9
영주	2021	1346.5
영주	2022	1083.8
영주	2023	2216.1
영주	2024	1399.2
문경	2020	1694.4
문경	2021	1367.3
문경	2022	1041.8
문경	2023	1942.7
문경	2024	1400
청송군	2020	1285.8
청송군	2021	987.7
청송군	2022	638.5
청송군	2023	1482.2
청송군	2024	948.7
영덕	2020	1308.8
영덕	2021	1287
영덕	2022	802.2
영덕	2023	1228.7
영덕	2024	848.4
의성	2020	1128.9
의성	2021	961.7
의성	2022	615.1
의성	2023	1575.4
의성	2024	970
구미	2020	1469.5
구미	2021	1098
구미	2022	792.9
구미	2023	1772.6
구미	2024	995.7
영천	2020	1234.5
영천	2021	1094.2
영천	2022	676
영천	2023	1296
영천	2024	1147.9
경주시	2020	1371.6
경주시	2021	1112.1
경주시	2022	829.5
경주시	2023	1146.5
경주시	2024	1085.8
거창	2020	1726.7
거창	2021	1080.2
